ts,close
09/18/2009,26.54
09/21/2009,26.23
09/22/2009,25.69
09/23/2009,26.09
09/24/2009,27.13
09/25/2009,27.21
09/28/2009,26.27
09/29/2009,26.48
09/30/2009,26.66
10/01/2009,28.33
10/02/2009,28.8
10/05/2009,27.61
10/06/2009,26.73
10/07/2009,26.12
10/08/2009,25.74
10/09/2009,25.08
10/12/2009,25.17
10/13/2009,25.09
10/14/2009,24.58
10/15/2009,24.22
10/16/2009,24.4
10/19/2009,24.15
10/20/2009,23.72
10/21/2009,24.55
10/22/2009,23.35
10/23/2009,24.31
10/26/2009,25.37
10/27/2009,25.46
10/28/2009,27.42
10/29/2009,25.66
10/30/2009,29.07
11/02/2009,28.82
11/03/2009,28.87
11/04/2009,28.18
11/05/2009,26.61
11/06/2009,25.88
11/09/2009,24.41
11/10/2009,24.71
11/11/2009,24.97
11/12/2009,26.07
11/13/2009,25.6
11/16/2009,25.15
11/17/2009,25.04
11/18/2009,24.72
11/19/2009,25.11
11/20/2009,24.66
11/23/2009,24.11
11/24/2009,23.74
11/25/2009,23.66
11/27/2009,26.15
11/30/2009,26.24
12/01/2009,24.94
12/02/2009,24.8
12/03/2009,25.51
12/04/2009,24.76
12/07/2009,25.3
12/08/2009,26.13
12/09/2009,25.8
12/10/2009,25.34
12/11/2009,25.12
12/14/2009,24.56
12/15/2009,24.73
12/16/2009,24.25
12/17/2009,24.78
12/18/2009,24.52
12/21/2009,23.53
12/22/2009,22.76
12/23/2009,22.68
12/24/2009,22.43
12/28/2009,22.49
12/29/2009,22.63
12/30/2009,22.66
12/31/2009,23.89
01/04/2010,22.77
01/05/2010,22.39
01/06/2010,21.8
01/07/2010,21.6
01/08/2010,21.0
01/11/2010,21.27
01/12/2010,21.79
01/13/2010,21.29
01/14/2010,20.71
01/15/2010,21.48
01/19/2010,20.89
01/20/2010,21.4
01/21/2010,23.15
01/22/2010,26.29
01/25/2010,25.19
01/26/2010,25.17
01/27/2010,24.13
01/28/2010,24.67
01/29/2010,25.38
02/01/2010,23.64
02/02/2010,22.93
02/03/2010,23.0
02/04/2010,25.98
02/05/2010,26.0
02/08/2010,26.43
02/09/2010,26.04
02/10/2010,25.87
02/11/2010,24.57
02/12/2010,24.46
02/16/2010,23.57
02/17/2010,23.29
02/18/2010,22.78
02/19/2010,22.31
02/22/2010,21.73
02/23/2010,22.62
02/24/2010,22.08
02/25/2010,22.07
02/26/2010,21.65
03/01/2010,21.44
03/02/2010,21.18
03/03/2010,20.97
03/04/2010,21.03
03/05/2010,20.23
03/08/2010,20.26
03/09/2010,20.16
03/10/2010,20.51
03/11/2010,20.7
03/12/2010,20.27
03/15/2010,20.72
03/16/2010,20.16
03/17/2010,19.72
03/18/2010,19.48
03/19/2010,19.95
03/22/2010,20.11
03/23/2010,19.68
03/24/2010,20.08
03/25/2010,20.58
03/26/2010,20.06
03/29/2010,19.85
03/30/2010,19.54
03/31/2010,19.92
04/01/2010,19.9
04/05/2010,19.35
04/06/2010,18.84
04/07/2010,19.19
04/08/2010,19.08
04/09/2010,18.62
04/12/2010,18.96
04/13/2010,18.99
04/14/2010,18.77
04/15/2010,18.9
04/16/2010,20.23
04/19/2010,19.79
04/20/2010,18.99
04/21/2010,19.3
04/22/2010,19.59
04/23/2010,19.39
04/26/2010,19.86
04/27/2010,22.72
04/28/2010,22.31
04/29/2010,20.96
04/30/2010,23.67
05/03/2010,22.58
05/04/2010,25.07
05/05/2010,26.37
05/06/2010,26.37
05/07/2010,36.62
05/10/2010,28.98
05/11/2010,28.87
05/12/2010,26.65
05/13/2010,27.61
05/14/2010,30.8
05/17/2010,30.51
05/18/2010,32.81
05/19/2010,34.18
05/20/2010,40.83
05/21/2010,37.4
05/24/2010,36.91
05/25/2010,34.9
05/26/2010,33.95
05/27/2010,30.64
