entry_ts,exit_ts,entry_i,year,days,units,entry_px,gross,net
2008-04-21 00:00:00+00:00,2008-04-23 00:00:00+00:00,273,2008,2,1,1387.72,0.006716052229556402,0.005689890211602091
2008-05-20 00:00:00+00:00,2008-05-21 00:00:00+00:00,293,2008,1,1,1424.49,0.007321918721788223,0.006467135313925293
2008-07-24 00:00:00+00:00,2008-07-25 00:00:00+00:00,336,2008,1,1,1283.22,0.02315269400414588,0.022220626626767097
2009-01-05 00:00:00+00:00,2009-01-08 00:00:00+00:00,445,2009,3,1,929.17,0.025226815329810415,0.02369225267353295
2009-01-29 00:00:00+00:00,2009-01-30 00:00:00+00:00,462,2009,1,1,868.89,0.026700733119267017,0.025397061672555312
2009-03-13 00:00:00+00:00,2009-03-23 00:00:00+00:00,492,2009,10,1,751.97,-0.02704895142093422,-0.029906569484893626
2009-05-05 00:00:00+00:00,2009-05-12 00:00:00+00:00,528,2009,7,1,906.1,-0.004878048780487809,-0.007051124170743974
2010-07-12 00:00:00+00:00,2010-07-19 00:00:00+00:00,826,2010,7,1,1077.23,0.009635825218384242,0.0076380739128237875
2010-09-07 00:00:00+00:00,2010-09-17 00:00:00+00:00,866,2010,10,1,1102.6,-0.021576274260838302,-0.024010999254288127
2011-12-01 00:00:00+00:00,2011-12-09 00:00:00+00:00,1180,2011,8,1,1246.91,0.009968642484221024,0.00794443776125697
2015-10-06 00:00:00+00:00,2015-10-14 00:00:00+00:00,2181,2015,8,1,1982.9,-0.00830097332190216,-0.0100275074105826
2016-02-18 00:00:00+00:00,2016-02-24 00:00:00+00:00,2277,2016,6,1,1930.43,0.00681713400641315,0.005382448038347313
2016-03-08 00:00:00+00:00,2016-03-09 00:00:00+00:00,2290,2016,1,1,2000.83,0.008803846403742432,0.008151276039887877
2018-11-29 00:00:00+00:00,2018-12-05 00:00:00+00:00,3005,2018,6,1,2737.97,0.014638582599517003,0.013356681836055996
2019-01-11 00:00:00+00:00,2019-01-15 00:00:00+00:00,3034,2019,4,1,2593.88,0.004788193748361591,0.003791559791166621
2019-01-18 00:00:00+00:00,2019-01-23 00:00:00+00:00,3039,2019,5,1,2636.8,0.002070691747572795,0.000927555285868372
2020-03-27 00:00:00+00:00,2020-04-02 00:00:00+00:00,3352,2020,6,1,2616.44,0.05652910060998917,0.05523023523056777
2020-04-13 00:00:00+00:00,2020-04-16 00:00:00+00:00,3362,2020,3,1,2814.04,0.012746798197609044,0.011933103888596615
2020-04-30 00:00:00+00:00,2020-05-01 00:00:00+00:00,3375,2020,1,1,2964.68,0.028751838309699407,0.02826175599989794
2022-03-20 00:00:00+00:00,2022-03-24 00:00:00+00:00,3869,2022,4,1,4465.24,0.0014848026085941823,0.0006497393694899511
2022-05-30 00:00:00+00:00,2022-06-02 00:00:00+00:00,3920,2022,3,1,4166.18,0.016189890979266597,0.015491529610658743
2022-06-27 00:00:00+00:00,2022-06-29 00:00:00+00:00,3940,2022,2,1,3916.3,0.023463473176212335,0.022902574567264546
2022-07-11 00:00:00+00:00,2022-07-12 00:00:00+00:00,3950,2022,1,1,3895.5,0.009490437684507746,0.009080953450562597
2022-08-01 00:00:00+00:00,2022-08-10 00:00:00+00:00,3965,2022,9,1,4132.06,0.0011713285867097634,-0.00044568145186663663
2022-08-15 00:00:00+00:00,2022-08-19 00:00:00+00:00,3975,2022,4,1,4274.68,-0.002278533129965288,-0.003123579880703225
2022-09-13 00:00:00+00:00,2022-09-14 00:00:00+00:00,3996,2022,1,1,4118.68,0.04393883477230576,0.04354326075884082
2025-05-05 00:00:00+00:00,2025-05-07 00:00:00+00:00,4689,2025,2,1,5679.91,0.015685107686565503,0.015203493003312502
