entry_ts,exit_ts,entry_i,year,days,units,entry_px,gross,net
2009-06-16 00:00:00+00:00,2009-06-26 00:00:00+00:00,557,2009,10,3,925.6,0.003026371233813959,0.0005597487846021118
2009-07-07 00:00:00+00:00,2009-07-14 00:00:00+00:00,571,2009,7,1,898.6,0.002414867571778334,0.00023258092835770454
2009-07-30 00:00:00+00:00,2009-07-31 00:00:00+00:00,588,2009,1,1,976.01,0.011055214598211016,0.009877857154241294
2009-08-03 00:00:00+00:00,2009-08-04 00:00:00+00:00,590,2009,1,1,990.22,0.011300519076568705,0.010137864705710601
2009-08-18 00:00:00+00:00,2009-08-21 00:00:00+00:00,601,2009,3,1,980.62,0.029002059921274137,0.027523963580863647
2009-09-02 00:00:00+00:00,2009-09-08 00:00:00+00:00,612,2009,6,1,996.07,0.022689168431937468,0.020768556259432858
2009-09-28 00:00:00+00:00,2009-09-29 00:00:00+00:00,629,2009,1,1,1045.38,0.01751516195067815,0.016405794224747545
2009-10-02 00:00:00+00:00,2009-10-07 00:00:00+00:00,633,2009,5,1,1029.71,0.023249264355983845,0.021514228250888452
2009-10-27 00:00:00+00:00,2009-11-06 00:00:00+00:00,650,2009,10,2,1067.54,0.008971947324199092,0.0066495113438017036
2009-11-23 00:00:00+00:00,2009-11-24 00:00:00+00:00,669,2009,1,1,1094.86,0.010019545878011904,0.008953409314635967
2009-11-30 00:00:00+00:00,2009-12-02 00:00:00+00:00,673,2009,2,1,1091.07,0.016460905349794164,0.015238818315964986
2009-12-09 00:00:00+00:00,2009-12-11 00:00:00+00:00,680,2009,2,1,1091.07,0.011814090754947104,0.010592003721117927
2010-01-04 00:00:00+00:00,2010-01-05 00:00:00+00:00,696,2010,1,1,1116.56,0.014419287812567294,0.013370902096120747
2010-01-22 00:00:00+00:00,2010-02-03 00:00:00+00:00,709,2010,12,2,1115.49,-0.002857577143293377,-0.005367685121031216
2010-02-05 00:00:00+00:00,2010-02-12 00:00:00+00:00,719,2010,7,1,1064.12,0.011117167236778025,0.009107979154398009
2010-03-26 00:00:00+00:00,2010-03-29 00:00:00+00:00,753,2010,3,1,1167.58,0.00011134140701285489,-0.0012034642879573685
2010-04-19 00:00:00+00:00,2010-04-20 00:00:00+00:00,768,2010,1,1,1192.06,0.0058554099625858225,0.0048637482360135206
2010-04-27 00:00:00+00:00,2010-04-30 00:00:00+00:00,774,2010,3,1,1209.92,-0.0026034779158953247,-0.003888312174909695
2010-05-03 00:00:00+00:00,2010-05-04 00:00:00+00:00,778,2010,1,1,1188.58,0.00750475357148872,0.006510635707221182
2010-05-05 00:00:00+00:00,2010-05-11 00:00:00+00:00,780,2010,6,3,1169.24,0.015151429292113697,0.013713381595758307
2010-05-12 00:00:00+00:00,2010-05-13 00:00:00+00:00,785,2010,1,1,1155.43,0.012644643119877452,0.01162638668913065
2010-05-17 00:00:00+00:00,2010-05-28 00:00:00+00:00,788,2010,11,2,1136.52,0.0016245845751468035,-0.0006588442919526153
2010-09-24 00:00:00+00:00,2010-09-27 00:00:00+00:00,879,2010,3,1,1131.69,0.01497759987275682,0.013635632328641381
2010-10-29 00:00:00+00:00,2010-11-01 00:00:00+00:00,904,2010,3,1,1183.87,0.0015542247037261259,0.00025120403141131635
2010-11-02 00:00:00+00:00,2010-11-03 00:00:00+00:00,906,2010,1,1,1187.86,0.0049921707945381755,0.0039975429670912445
2010-11-15 00:00:00+00:00,2010-11-19 00:00:00+00:00,915,2010,4,2,1200.44,0.005749478849514655,0.004450302223828118
2010-11-29 00:00:00+00:00,2010-12-02 00:00:00+00:00,924,2010,3,1,1189.08,0.014910687254011457,0.01361136761193523
2011-01-03 00:00:00+00:00,2011-01-04 00:00:00+00:00,948,2011,1,1,1257.62,0.012189691639764133,0.011241761113143303
2011-01-11 00:00:00+00:00,2011-01-12 00:00:00+00:00,954,2011,1,1,1272.58,0.0024124220088326265,0.0014738390164514446
